# Constructed from biom file
#OTU ID	SRR34584690	SRR34584691	SRR34584692	SRR34584693	SRR34584694	SRR34584695	SRR34584696	SRR34584697	SRR34584698	SRR34584699	SRR34584700	SRR34584701
f559c3d50b63c19919508bdec9d5a917	0.0	0.0	0.0	0.0	0.0	5043.0	0.0	0.0	0.0	0.0	0.0	0.0
8d5d02e8a82edceb4248b6151c6cf480	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0
3b553ccbd1a10d27640a1652edcda0eb	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
29c706223d8d490dc2cae29e50535974	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
ed2b62e7a7b23eb2dbdfe9fe4b87101f	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
c29a51de6ce9082eca68d9c8551a7fc2	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
39808c28c62783e253c1e43aafa80e6c	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
a6bf1f7e6e3b9aae81f45e0a3e462031	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0
e2a9274c6b624b51a6100e468b11aea6	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
98343fce1941038f9fd6c1d9baf4726f	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
5df7b9967297cadadca278e62887f9bd	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
8148eafe943a53d85bff6347b20e93ee	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
d0edc00837b96cd82140752db76f1c3a	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0
f171beba2e6c0cf0eb300556f029fa23	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
70a5662f66052e8e64d63814f7b2e5b5	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
7b19fe70ffc5bbffb94aac8487753bae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
c243d021d5528815fbdf563f50b1d983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
1861dfba7c283eaa5d0b9727f77ffdb7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
a4aaef7c4626e7a315836d425c52b616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
bbbc3d19fd4d2f20d2ac500fdfc34613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0
a500722253b6b4edf71a5363e7080e0b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0
dd78bbd1350e88075b208f48cbf68d6b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
